kin	ABCC2	4615	missense	[1,1,3,44,1,4,4,4,10]
emp	ABCC3	4631	synonymous	[5,3,1,2,4,25,37,8,8,8,15,28,2,1,1,39,30,30,3,3,8,7,1]
kin	ABCC3	4631	synonymous	[1,1,1,2,13,10,4,3,1,1]
emp	ABCC3	4631	missense	[1,1,10,27,1,1,1,1,1]
kin	ABCC3	4631	missense	[1,1,1,1,2,1,1,1]
emp	ABCC4	3700	synonymous	[6,2,13,1,1,1]
kin	ABCC4	3700	synonymous	[1,1,1,19,3,2,1]
emp	ABCC4	3700	missense	[1,1]
kin	ABCC4	3700	missense	[1,1]
emp	ABCC5	4320	synonymous	[3,38,2,1,2,4,8]
kin	ABCC5	4320	synonymous	[2,1,2,3,1]
emp	ABCC5	4320	missense	[1,1]
kin	ABCC5	4320	missense	[3,1]
emp	ABCC8	4703	synonymous	[1,1,22,1,6,1,10,2,8,3,23,7,4,16,2,10,1,1,8,8,1]
kin	ABCC8	4703	synonymous	[4,9,16,1,2,1,1,1]
emp	ABCC8	4703	missense	[4]
kin	ABCC8	4703	missense	[1,1,1,1,2]
emp	ABCC9	4785	synonymous	[1,5,1,34,11,7,6,7,12,2,3,2,4,10,18,6,6,1,1,4,2,40,1,11,15,10,3,6]
kin	ABCC9	4785	synonymous	[1,1,2,1,13,3,1,13,1,3,1,6,1,1]
emp	ABCC9	4785	missense	[1,1,3,2,17]
kin	ABCC9	4785	missense	[2,25]
emp	ABCD2	2207	synonymous	[4,6,2,5,1]
kin	ABCD2	2207	synonymous	[27]
emp	ABCD2	2207	missense	[1]
kin	ABCD2	2207	missense	[1]
emp	ABCD3	1785	synonymous	[3,10,1,1,2]
kin	ABCD3	1785	synonymous	[2,2]
emp	ABCD3	1785	missense	[2,1]
kin	ABCD3	1785	missense	[]
emp	ABCD4	1863	synonymous	[1,8,14,3,9,1]
kin	ABCD4	1863	synonymous	[2,1]
emp	ABCD4	1863	missense	[2,2,2,2,2]
kin	ABCD4	1863	missense	[1,1,1,1]
emp	ABCE1	1783	synonymous	[23]
kin	ABCE1	1783	synonymous	[1,1,6]
emp	ABCE1	1783	missense	[1]
kin	ABCE1	1783	missense	[]
emp	ABCF2	1952	synonymous	[1,1]
kin	ABCF2	1952	synonymous	[2]
emp	ABCF2	1952	missense	[3]
kin	ABCF2	1952	missense	[]
emp	ABCF3	1937	synonymous	[7,2,1,2,3,4,1]
kin	ABCF3	1937	synonymous	[8,1,2,2,6,2,28,1,2]
emp	ABCF3	1937	missense	[2,1,46,1,7,9,1,1]
kin	ABCF3	1937	missense	[]
emp	ABCG1	1921	synonymous	[2,2,3,12,5,16]
kin	ABCG1	1921	synonymous	[44,1,4]
emp	ABCG1	1921	missense	[2,1,2,1]
kin	ABCG1	1921	missense	[]
emp	ABCG2	1977	synonymous	[5,4,1,4,14,2,1,1]
kin	ABCG2	1977	synonymous	[1,1]
emp	ABCG2	1977	missense	[9,1,3,3,2,1]
kin	ABCG2	1977	missense	[2,1,1,24,2]
emp	ABCG4	1915	synonymous	[1,3,1,10,2,29,2,6,1,1,6]
kin	ABCG4	1915	synonymous	[2,1,3,6,6,1,23,7,1]
emp	ABCG4	1915	missense	[1]
kin	ABCG4	1915	missense	[1,2]
emp	ABCG5	1925	synonymous	[8,3,1,15,12,1,1]
kin	ABCG5	1925	synonymous	[3,17,1,1,1,1]
emp	ABCG5	1925	missense	[2,2,1,1,6,1,2,5]
kin	ABCG5	1925	missense	[2,11,1,1,1,2]
emp	ABCG8	2011	synonymous	[1,2,4]
kin	ABCG8	2011	synonymous	[4]
emp	ABCG8	2011	missense	[2,3,5,5]
kin	ABCG8	2011	missense	[1,3,1,1,2,1,1,1,1,2,1]
emp	ABHD10	826	synonymous	[4,4]
kin	ABHD10	826	synonymous	[25,24,1]
emp	ABHD10	826	missense	[1,2]
kin	ABHD10	826	missense	[1,1,1]
emp	ABHD11	537	synonymous	[9,47,1,1,6,2,2,1]
kin	ABHD11	537	synonymous	[11,1]
emp	ABHD11	537	missense	[2,1,4,2]
kin	ABHD11	537	missense	[4,1,1,1,4]
emp	ABHD12	1127	synonymous	[3,1,1,3]
kin	ABHD12	1127	synonymous	[9,1,2,3]
emp	ABHD12	1127	missense	[5,8]
kin	ABHD12	1127	missense	[]
emp	ABHD12B	1306	synonymous	[2,2,1,1,3,4,2,3,5,2]
kin	ABHD12B	1306	synonymous	[8,1,1,3,1]
emp	ABHD12B	1306	missense	[2,3,1,1]
kin	ABHD12B	1306	missense	[1,1,2]
emp	ABHD13	1013	synonymous	[2,2]
kin	ABHD13	1013	synonymous	[]
emp	ABHD13	1013	missense	[]
kin	ABHD13	1013	missense	[]
emp	ABHD14A	658	synonymous	[6,7,13]
kin	ABHD14A	658	synonymous	[]
